id,ridge_density
f198,0.866666667
f207,0.851851852
f464,0.922222222
f465,0.907407407
f441,0.914814815
f442,0.937037037
f423,0.866666667
f420,0.903703704
f413,0.907407407
f406,0.911111111
f397,1.059259259
f395,0.896296296
f394,0.862962963
f393,0.9
f384,0.840740741
f367,0.933333333
f366,0.966666667
f354,0.888888889
f347,1
f342,0.885185185
f334,0.877777778
f328,0.925925926
f330,0.859259259
f305,0.862962963
f240,0.937037037
f212,1.022222222
f252,0.937037037
f274,0.940740741
f299,1.011111111
f284,1.025925926
m32m,0.985185185
m214,0.974074074
m203,1.07037037
m187,1.011111111
m175,0.962962963
m112,0.959259259
m78m,0.959259259
m452,0.985185185
m455,0.985185185
m440,1.018518519
m425,1.044444444
m412,1.007407407
m411,0.92962963
m409,0.918518519
m407,0.977777778
m404,0.992592593
m359,0.962962963
m357,0.933333333
m326,1.059259259
m320,0.966666667
m315,0.907407407
m308,0.977777778
m304,0.940740741
m265,1.022222222
m262,0.911111111
m250,0.944444444
m232,1.037037037
m231,0.966666667
m223,0.933333333
m215,0.955555556